Unnamed: 0,Objektart,Name,Link,Address
109,StadionArena,Ramhofstraße,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Ramhofstraße 1, Dortmund"
110,Tennis,Eichsfeld,https://www.hoerder-tennisclub.de/,"Eichsfeld 9, Dortmund"
111,StadionArena,Idastr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Idastraße 9a, Dortmund"
112,Tennis,Kirchderner Straße,http://www.tg-westfalia.de/,"Kirchderner Straße 35, Dortmund"
113,Skateanlage,Lütgendortmund,,"Im I. Westfeld nan, Dortmund"
114,Golf,Golfclub Royal St. Barbara´s,http://www.royal-dortmund-gc.de/,"Saint-Barbara-Allee 18, Dortmund"
115,Skateanlage,Holzen,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,"Kreisstraße nan, Dortmund"
116,Tennis,Rubinstraße,https://www.tcberghofen.de/,"Rubinstraße 32, Dortmund"
117,StadionArena,Sportplatz Technische Universität Dortmund,,"Otto-Hahn-Straße nan, Dortmund"
118,StadionArena,Fränkischer Friedhof,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Fränkischer Friedhof 2, Dortmund"
119,StadionArena,Grüningsweg,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Grüningsweg 42, Dortmund"
120,Skateanlage,Aplerbeck,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,"Schweizer Allee nan, Dortmund"
121,StadionArena,Hahnenmühlenweg,http://www.bcsportfreunde06.de/,"Hahnenmühlenweg 89, Dortmund"
122,StadionArena,Gretelweg,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Gretelweg 17, Dortmund"
123,Tennis,Baststr.,http://www.tsc-hansa.de/,"Baststraße 10, Dortmund"
124,StadionArena,Hinter Holtein,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Hinter Holtein 101, Dortmund"
125,Tennis,Volksgartenstraße,,"Volksgartenstraße 57, Dortmund"
126,Tennis,Oberste-Wilms-Straße,http://www.tc-brackel.de/,"Oberste-Wilms-Straße 8, Dortmund"
127,StadionArena,Limbecker Str./Evastr.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Limbecker Straße 70, Dortmund"
128,StadionArena,Hallesche Str./Hannöversche Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Hallesche Straße 76, Dortmund"
129,Tennis,Kortental,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Kortental 7, Dortmund"
130,StadionArena,Lichtendorfer Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Lichtendorfer Straße 143a, Dortmund"
131,StadionArena,Jasminstr./Rosengarten,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Jasminstraße 65, Dortmund"
132,Radrennbahn,Radrundbahn -Niere-,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Steinklippenweg nan, Dortmund"
133,Tennis,Gürtlerstraße,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Gürtlerstraße 5, Dortmund"
134,StadionArena,Heinrich-Pieper-Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Heinrich-Pieper-Straße 2, Dortmund"
135,StadionArena,Goystadion mit Nebenplätzen,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Am Bruchheck 47, Dortmund"
136,StadionArena,Victor-Toyka-Str.,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Victor-Toyka-Straße 6, Dortmund"
137,Tennis,Johannes-Gronowski-Straße,http://www.dtkrw.de/,"Johannes-Gronowski-Straße 20, Dortmund"
